"title","artist","albumTitle","bpm","key","bitrate","genre","playCount","duration","rating","label","year","dateModified"
"a_sebestowa","","","193","3D","128","","0","2:46","0","","0","2026-03-25"
"F Jam - Adam F","Various","100% Drum & Bass","82","9M","128","Rave","0","5:18","0","","2","2026-03-25"
"Atmosheric Funk - Wax Doctor","Various","100% Drum & Bass","79.94","12D","128","Rave","0","6:20","0","","0","2026-03-25"
"Banstyle (Alex Reece Remix) -","Various","100% Drum & Bass","82","5M","128","Rave","0","5:02","0","","2","2026-03-25"
"Burial - Leviticus","Various","100% Drum & Bass","160","10D","128","Rave","0","3:38","0","","2","2026-03-25"
"Feel the Sunshine - Alex Reece","Various","100% Drum & Bass","160","12M","128","Rave","0","5:19","0","","2","2026-03-25"
"Greater Love - Soundman, Don L","Various","100% Drum & Bass","84","4M","128","Rave","0","4:29","0","","0","2026-03-25"
"The Helicopter Tune - Deep Blu","Various","100% Drum & Bass              ","82","4M","128","Rave","0","4:59","0","","0","2026-03-25"
"Horizons - LTJ Bukem","Various","100% Drum & Bass","77.5","9M","128","Rave","0","5:06","0","","0","2026-03-25"
"Inner City Life - Goldie","Various","100% Drum & Bass","155","2D","128","Rave","0","5:54","0","","2","2026-03-25"
"Mutant Jazz - T Power vs. MK U","Various","100% Drum & Bass","84","7M","128","Rave","0","3:46","0","","2","2026-03-25"
"Rings around Saturn - Photek","Various","100% Drum & Bass","82.55","11M","128","Rave","0","5:24","0","","0","2026-03-25"
"Break it down","Outlaw (Rude Bwoy Monty)","24 Karat (24K12)","175","10D","192","Drum & Bass","0","5:45","0","","1997","2026-03-25"
"JSA one","Outlaw (Rude Bwoy Monty)","24 Karat (24K12)","87","10D","192","Drum & Bass","0","5:32","0","","1997","2026-03-25"
"Liquid Fingers (Goldie Remix)","Nasty Habits","31 Records (31R013)","170","5M","192","Drum & Bass","0","6:11","0","","2001","2026-03-25"
"Deep Beats","Nasty Habits","31 Records (31R013)","174","12D","192","Drum & Bass","0","5:56","0","","2001","2026-03-25"
"Aurora","Friction","31 Records","87","6M","192","Drum & Bass","1","5:32","0","","2004","2026-03-25"
"Echoes Of Light","Kontrol","31 Records","172","12M","192","Drum & Bass","0","6:20","0","","2004","2026-03-25"
"Love and Happiness","Marcus Intalex + St Files","31R014","175","8M","192","Drum & Bass","0","7:45","0","","2001","2026-03-25"
"Dreamworld","Marcus Intalex St Files","31R014","175","2M","192","Drum & Bass","0","7:42","0","","2001","2026-03-25"
"Lansee","Devize & 3A","3d Mode - 3DMODE01","85","1M","192","Drum & Bass","0","7:11","0","","2001","2026-03-25"
"Bromide","Devize & 3A","3d Mode - 3DMODE01","86","10D","192","Drum & Bass","0","6:48","0","","2001","2026-03-25"
"Screwface Pt 2 (Hardcore Mix)","Lewie","3rd Party (3RD10)","82.61","10M","192","Drum & Bass","0","4:41","0","","1994","2026-03-25"
"Screwface Pt 3 (Mellow Mix)","Brainkillers","3rd Party (3RD10)","82.6","10M","192","Drum & Bass","0","5:46","0","","1994","2026-03-25"
"Flex and Relax","Missing","3rd Party (3RD11)","80","11M","192","Drum & Bass","0","6:03","0","","1994","2026-03-25"
"B-Missing-Back To Consciousness-sour","","","160","11M","192","","0","1:22","0","","0","2026-03-25"
"Synthetic","Fiction","HQ19","87","10M","192","Drum & Bass","0","8:06","0","","99","2026-03-25"
"Unknown?","Fiction","HQ19","89.53","6M","192","Drum & Bass","0","6:49","0","","0","2026-03-25"
